id,syllabus_name,question_type,question,answer,answer_span_1,answer_span_2,answer_span_3,answer_span_4,answer_span_5,reasoning_step_1,reasoning_step_2,reasoning_step_3,reasoning_step_4,reasoning_step_5
8SdL9jBxc8PLJaRa,Teaching Math in Elementary School 2 Proposed Syllabus,single reasoning,"If I am absent from class for week 9, how many assignments will I miss?",If you are absent from class during week 9 you will miss two assigments.,,,,,,"Week 9 Assignments are :

TD Chapter 20 presentation
BMT Chapter 6 Reflection",,,,
LbTfq316sZZdbO6v,Biol582_2022_Syllabus,single factual,How long is the creative final paper?,The final paper should be no longer than 5 pages.,"The paper should be no more than 5 pages (1.5 line spacing,
excluding references or figures/illustrations).",,,,,,,,,
22uANl1UZLfLvNpC,Sch Mgmt 652 Syllabus - Fully OnLine,single reasoning,Will I receive any certificates for completing the course?,"You will receive a certificate in tax research issued from BNA Tax for successfully completing the BNA Tax Research Case, not for completing the course.",,,,,,Satisfactory completion of the the BNA Tax Research case will result in a Certificate in Tax Research issued by BNA Tax. This is not issued by the University for completing the course.,,,,
fD2Yt9PbCyZJMPFZ,Syllabus_Grounding_S_2023,no answer,"Since undergraduate students are not required to present, what is the breakdown of course evaluation for them?",No/insufficient information,,,,,,,,,,
npzhhkxTG9Ijn7x6,soc795E,single reasoning,"I will not attend the Wednesday labs, what activities i miss?",You will not get the required structural activities.,,,,,,Wednesday labs includes required structural activities,,,,
ftY48YjIBj3y00LO,stat-111-syl-spring 2023,single factual,What is the weightage given to quizzes in the final grading for STAT 111?,The weightage of quizzes in the final grading for STAT 111 is 10%.,Quizzes have a weightage of 10% in the final grading for STAT 111.,,,,,,,,,
qyiIgod5UVfrIKhh,Teaching Math in Elementary School 2 Proposed Syllabus,summarization,What is the academic policy regarding absences from class?,"Any absences for religious holidays should be noted and discussed with the professor in advance. Students should follow instructions given by instructors regarding medical related absences to try and keep up with assignments and deadlines. Students who participate in official university extracurricular activities will be given an opportunity to make up any missed assignments, and should make arrangements with the instructor to do so.","Religious Observance
Religiously observant students wishing to be absent on holidays that require missing class should notify
their professors in writing at the beginning of the semester and should discuss with them, in advance,
acceptable ways of making up any work missed because of the absence. Click here for a list of holidays.","Medical-Related Absences
To ensure academic continuity and avoid any course penalties, students should follow procedures
described by their instructors in order to be provided with appropriate modifications to assignments,
deadlines, and exams.","Excused Absences for University Extracurricular Activities
Students participating in an officially sanctioned, scheduled university extracurricular activity should be
given the opportunity to make up class assignments or other graded assignments that were missed as a
result of their participation. It is the responsibility of the student to make arrangements for make-up work
with the instructor prior to any missed scheduled examinations or other missed assignments. (See
current Catalog under heading of ""Academic Records/Excused Absences."")",,,,,,,
SLYZMnlYhyshnDHF,stat-111-syl-spring 2023,yes/no,Can we use calculators on exams and quizzes?,Yes,Students can use the calculator to help the computing.,,,,,,,,,
HEk742ma67wIGXff,JOURNAL 310 (International Journalism) Syllabus - 2022 Spring,no answer,Can I use my phone in class,No/insufficient information,,,,,,,,,,
TaaW3ceFB7h5weAL,Sch Mgmt 652 Syllabus - Fully OnLine,no answer,"Which topic is scheduled on August 8th?
",No/insufficient information,,,,,,,,,,
4RcWTCPNW07PETRr,2023_Chem122_syllabus,multi factual,What textbooks and course materials are necessary for this course?,"The most important details are the second edition of Chemistry: Atoms First, the Chemistry Molecular Model, Student Set, a scientific calculator, two pencils with erasers, American Optical Safety Glasses #484A, and a Student Lab Notebook. ",Second edition of Chemistry: Atoms First. William R. Robinson and others  ,"Chemistry Molecular Model, Student Set (with two Sulphur atoms and a six-hole grid). Available on the internet. Molymod MMS-009, Duluth MM-003, Hilitchi 125Pcs, and Diwenhouse 240 pc are a few examples.", A scientific calculator and two pencils with erasers (for tests).,"American Optical Safety Glasses #484A, Student Lab Notebook are required for the lab.",,,,,,
u4UNrP2DdvubitQ9,CS Syllabus for 568,summarization,What should post be about on the discussion boards on Canvas?,"The discussion board posts should be : a question you had about the reading (something important you did not understand), and idea inspired by the reading, an interesting connection with something you learned in another course or did previously in other professional work or research, or an on-topic relevant response clarification or further comment on another student's post. "," question you had about the reading, something important you did not understand",an idea inspired by the reading,"an interesting connection with something you learned or did previously in this or another course, or in other professional work or research","an on-topic, relevant response, clarification, or further comment on another student’s post",,,,,,
lJhtAgiiZGXcXhKm,ResEcon-213-Fall-2022,multi factual,"What textbook will I need for this class, and when will the first discussion sections be held?","This course requires you to use the 7th edition of Applied Statistics in Business & Economics by David P. Doane and Lori E. Seward. On September 16, 2022, the first discussion sections will be held.","Required Materials:
1. Text: Applied Statistics in Business & Economics by David P. Doane and Lori E. Seward, 7th edition.","Discussion Sections: Discussion sections will be hosted by the TA and will be used to guide your application of the
methods and tools covered in class to analyze data. Each week the TA will review key terms and methods and
illustrate data analysis using software, Excel. We will also use discussion sections to prepare you for the coming
quizzes and exams using real data sets. NO DISCUSSION WILL BE HELD DURING THE FIRST WEEK
OF CLASS. The first discussion sections will be on September 16, 2022.",,,,,,,,
qUsjO3DJX3wOCfdh,Syllabus_Grounding_S_2023,no answer,"Should the final paper primarily focus on one topic, or can it cover multiple topics?",No/insufficient information,,,,,,,,,,
3huXOFhMDae3soqB,CS Syllabus for 568,single factual,What are the penalties for missing class?,Missing more than two classes will result in your grade being dropped by a letter grade.  Missing more than four classes will result in it being dropped by two letter grades.  These deductions will continue as you continue to miss classes.,"If you miss more than two classes, your grade will be dropped by a letter grade. If you miss more than four classes, it will go down two grades, etc.",,,,,,,,,
AcuHgWh2r3jEPKWt,JOURNAL 310 (International Journalism) Syllabus - 2022 Spring,summarization,Can you give me some information on the exam schedule?,Homework or reviews are due midnight before class starts. Quzzies and exams can be taken online via Moodle. Midtrems can also be taken in class.,Homework or reviews. Due midnight before the day of the class.,Quiz is online via Moodle.,There will be an in-class midterm. Midterm is also online via Moodle.,,,,,,,
9SZ6fAaVEknus9qr,ResEcon-213-Fall-2022,multi factual,What materials are required for this course?,"The textbook, a personal response transmitter, computer access and access to the internet.","Text: Applied Statistics in Business & Economics by David P. Doane and Lori E. Seward, 7th edition. An
online tool called Connect comes with e-textbook access. Connect is an integral part of this course, and
everyone must have it. A loose-leaf textbook is available after registration. You can purchase access to
Connect (and the e-textbook therein) directly","Personal Response Transmitter (iClicker2): This is required for use during lectures. You must link your
Spire ID to your iClicker2 transmitter on the Moodle site for this course. Note, there is a iClicker lending
program on campus so you can borrow one for the semester for free!","Computer Access: It is extremely important that you have access to a personal computer and access to the
Internet. Homework and quizzes in this course (described shortly) are given over the internet. In addition,
data sets will be provided for statistical analyses that really cannot be completed on hand calculators",,,,,,,
ElGSqlYuvKZ0N1ft,CS Syllabus for 568,no answer,Will there be any online quizzes?,No/insufficient information,,,,,,,,,,
JHzBBR2A5idTNRZp,Biol582_2022_Syllabus,single factual,When is the final paper due?,"The final paper is due on Sunday Dec. 18th, by 11:59pm.","Final papers due on Sunday Dec. 18th, by 11:59pm.
",,,,,,,,,
zuZmykXLdA4jNBTe,Syllabus-549,summarization,What are the stylistic homework policies?,"They stylistic homework policies include: 1) Stapling the pages appropriately and writing your first and last names, and student ID at the top of all homework pages, 2) Numbering the homework pages, indicating the total number of pages, 3) Using a ruler to draw any straight lines, 4) Writing on only one side of the engineering paper, 5) Starting each new problem at the top of a new page, and 6) Using a hard lead pencil that produces good contrast to the paper.","Staple the pages appropriately and write your First Name, Last Name, and Student ID on top of all the homework pages to prevent any hassle in case they are separated.","Number the homework pages indicating the total number of pages (e.g., Page 2 of 6).",Use ruler for drawing any straight lines. Write on only one side of the engineering paper.,Start each new problem at the top of a fresh page.,"Use a pencil with enough lead hardness, so that good contrast to the paper is produced.",,,,,
RkUu7D0sHfuosZ2x,Biol582_2022_Syllabus,single reasoning,Am I required to buy the textbook?,"No, it looks like all required readings will be posted online as PDFs for students to read.",,,,,,There is a textbook listed but it is mentioned that required chapters and sections will be posted on Moodle as PDFs.,,,,
BRzyyKYVBjjVz2cz,101-f22-syll,single reasoning,I will be out of town on the Friday of week 1. Will I miss discussion section?,"No, there is no discussion section during week 1 of class.",,,,,,"Course Schedule
Introduction
Week 1: September 7, No Discussion Section",,,,
yRUMF1BdMj7NrTeB,stat-111-syl-spring 2023,summarization,Can you explain how the quizzes are handled in the course?,"After the second week, there is a quiz every week.  There are no make-up quizzes, so check the Moodle page for the quiz schedule.  The lowest two quiz grades will be dropped.","In each week beginning the 2rd week, there will be a quiz each week. ","Check the course Moodle page for
the schedule. ","The lowest two quizzes grades will be dropped to accommodate students missing quizzes
due to the conflicts or emergencies. ",There are no make-ups for quizzes.,,,,,,
wlZYaeUHnwTsfseQ,Syllabus_209H_230301,yes/no,Are any absences allowed? ,Yes,"Missed quizzes and summary statements due to extenuating circumstances including jury
duty, military obligations, religious observance, scheduled activities for other classes, the
death of a family member, or verifiable health-related incapacity may be made up in
alternative forms only with formal, written documentation. Details will be discussed on a
case by case.",,,,,,,,,
8ckHQno03vDuAogD,130 syllabus_2 S 2023,summarization,"If I have a question about this course, who should I contact and how should I contact them?","Moodle's Help Desk is available for course-related inquiries, while Discussion TAs are available to help with homework and discussion assignments. Questions about exams or grades should be sent to EMAIL, and absences or requests for exam make-ups should be sent to EMAIL.",Help Desk on Moodle- Any course-related inquiries that can help you and your classmates. Professor Norton and TAs will check and reply to Help Desk queries on a regular basis; the questions and responses will be visible to everyone in this class.,"Discussion TA: ONLY contact your discussion TA if you have questions regarding your homework or discussion assignment scores on Moodle.
 If you are unable to attend the discussion and wish to make up for discussion work;",Please email &lt;EMAIL&gt; with any questions about examinations or exam grades. Requests for exam make-ups or absences,,,,,,,
1ajgT2M84qF8yAW2,Most Recent P132 Syllabus - Spring 2022,multi reasoning,If the student have the Edfinity then how much does they needed for the required cost?,$32 for the total course.,,,,,,The total required cost will be between $23.25 to $58.,"For edfinity , it will cost $23.25",For clicker it will cost $30.,For protractor it will cost around $2.,So if the student have edfinity then they need 30+2=$32
rJ7FuO8kSApDchoi,Teaching Math in Elementary School 2 Proposed Syllabus,multi factual,What textbooks will I need for this course?,"For this course, the required textbooks are Elementary and middle school mathematics: Teaching developmentally (10th ed.) and Becoming the Math Teacher You Wish You'd Had: Ideas and Strategies from Vibrant Classrooms.","TD: Van De Walle, J. A., Karp, K. S., & Bay-Williams, J. M. (2019). Elementary and middle school mathematics: Teaching developmentally (10th ed.). Allyn & Bacon: Boston.","BMT: Zager, T. (2017). Becoming the Math Teacher You Wish You'd Had: Ideas and Strategies from
Vibrant Classrooms. Stenhouse Publishers.",,,,,,,,
6fSxOOu3LjwnuD7v,JOURNAL 310 (International Journalism) Syllabus - 2022 Spring,multi factual,What will determine our grade in this course?,"A student's numerical grade will be calculated with a student's performance in Weekly Quizzes, Participation, Course Project Checkpoints, Course Project Submission, and Book Discussion. A student's final letter grade will be determined using the letter grade scale. ","Grade Calculation: Your course grade will be calculated as follows:
● Weekly Quizzes: 80 points (10 each; two lowest grades dropped)
● Participation: 90 points (5 each; lowest grade dropped for each participation period)
● Course Project Checkpoints: 90 points (30 each)
● Course Project Submission: 70 points
● Book Discussion: 40 points
● (Total: 370 points)","A: Achievement that is outstanding relative to the level necessary to meet course
requirements. (A: 93-100%; A-: 90-92.99%)
● B: Achievement that is significantly above the level necessary to meet course
requirements. (B+: 87-89.99%; B: 83-86.99%; B-: 80-82.99%)
● C: Achievement that meets course requirements in every respect. (C+: 77-79.99%; C:
73-76.99%; C-: 70-72.99%)
● D: Achievement that is worthy of credit even though it fails to meet fully the course
requirements. (D+: 67-69.99%; D: 60-66.99%)
● F: Represents failure and signifies that the work was either completed but at a level of
achievement that is not worthy of credit or was not completed. (F: 59.99% and below)
● I (Incomplete) – This grade is rare and will be assigned at the discretion of the instructor.
An incomplete grade will be considered only when documented, extraordinary
circumstances beyond control, or ability to anticipate, prohibit timely completion of the
course requirements. Additionally, students must (1) have successfully completed a
substantial portion of the required coursework and (2) be determined by the instructor to
be capable of completing the remaining coursework within one calendar year. An
Incomplete will not be granted to students presently failing the course. Students
requesting an Incomplete must enter into a written agreement with the instructor
establishing the coursework to be completed and the timeframe in which it will be
completed",,,,,,,,
Yb5vLdIWGqZPzzGe,315 Lab Syllabus 22-01-11,multi factual,What are the Excels graded on?,"Excels are graded in equals parts based on completion and accuracy of the raw data, the organization and correct calculates of concentrations, confidence intervals, and hypothesis tests, and the summary and post lab questions. ","1. 20% Completion, & Accuracy and Precision of the raw data (Info & Data tabs)","2. 20% Organization & Correctly Calculating the Concentrations of unknowns
(Concentrations tab)","3. 20% Organization & Correctly Calculating the Confidence intervals for the
unknowns (Error Prop & CI tab)","4. 20% Organization & Correctly doing and interpreting the Hypothesis tests
(Hypothesis Testing tab)",5. 20% Summary & Post Lab Question (Summary and Questions tab),,,,,
ByMqPnP8H9pqjtGF,Nutr_130H_Syllabus_2021Fall,multi reasoning,Will missing class impact my grade?,Attendance in class is mandatory and is worth 5% of your final grade. One absence with an email notification prior to class is permitted for the entire semester. Additional absences will face a penalty (2.5pts/absence for the first two absences and 5pts/absence for the rest) unless you have a note from Health Services or your department’s office regarding an illness or other major personal issue.,,,,,,"Attendance:
(5% of the total 100 pts)",Attendance in class is mandatory and will be an important part of your grade. You are expected to attend all classes.,One absence simply with an email notification (before the class) to the instructor is allowed for the entire semester,"you may face penalty (2.5 pts/absence for the first 2 absences, and 5 pts/absence for the rest absences) for more than one absence unless you have a note from Health Services or your department’s office regarding an illness or other major personal issue.",
qpPeRUAkvhvX27QA,Syllabus.Astron101.summer2023,single reasoning,"I am an art major, will I be able to understand this course?","Yes, this course was designed for non science majors.",,,,,,This is a 4 credit course for nonscience majors.,,,,
BvC70XprFEnTU0mQ,Nutr_130H_Syllabus_2021Fall,no answer,What will be the hardest question on the final exam?,No/insufficient information,,,,,,,,,,
Q05lLRUKqJe66IpB,Syllabus.Astron101.summer2023,single factual,What is the name of the text book we will use?,Pathways to Astronomy is the name of the textbook.,"Pathways to Astronomy (Authors: Stephen Schneider and Thomas Arny) (6th Edition) (ISBN
9781260258066) is the latest edition.",,,,,,,,,
jFYuXIEf5dkz9gx1,MIE 302 Spring 2022 Syllabus-v1,multi factual,What is the grading scheme?,"pre-lab notes count for 10%, lab quizzes count for 15%, and lab memos and reports count for 55%","ding Scheme:
• Pre-lab notes: 10% (equal weights for all labs)
","• Lab Quizzes: 15% (equal weights for all labs, including syllabus quiz)
",• Lab Memos/Reports: 55%,,,,,,,
nsd5KaaNNtRxRVmw,Acct 371 Syllabus - Spring,yes/no,"Is this course, ""Individual Income Taxes"", a prerequisite for ""Corporate Taxes""?",Yes,This class is a pre-requisite for Corporate Taxes.,,,,,,,,,
RVsUYPS0f2azAmzn,101-f22-syll,summarization,Can I turn in assignments late?,"Late assignments will be accepted for a 20% deduction until the extended due date, which is the beginning of the class period immediately following the original due date. However, no credit will be given for late assignments turned in after the extended due date.",Late assignments will be accepted as long as you submit them at the beginning of the class period immediately following the due date (extended due date),you will lose twenty percent of the total points if you submit your assignments late,No credit will be given for assignments submitted after the extended due date,,,,,,,
FZ8QgXW0UI7wLLBC,Most Recent P132 Syllabus - Spring 2022,no answer,"If my teammates get low score, is it affect to my grade?",No/insufficient information,,,,,,,,,,
djn55dO0b93F2j2m,syllabus_fall2022-revised2,multi reasoning,If I don't do my homework can I pass this class?,Homework and time needed outside of work is essential for this class as it covers more than 40% of your grade. If you do not complete any homework or outside of class assignments you will not be able to pass the course.,,,,,,"This course will require you to work thoughtfully, carefully, and independently and will require substantial work outside of class time. ","Because we will be using a more project-driven approach	
in this course, with assignments that will build upon one another into a final product, it is vital that you do not fall behind",Homework (40%): There	will be approximately 5 homework	assignments that you will complete over the course of the semester. Each assignment will have components that you	will hand in for grading.,"If a homework is not handed in on time, it will receive a grade of zero.","I also expect you to devote substantial outside-of-class time to your work for this course, typically involving 5-10 hours per week. I anticipate that this work will be divided among:
– finishing in-class activities
– reading assigned articles and chapters
– reviewing your notes
– working on assignments
– conducting project work
– preparing for exams"
mUgM2lbyZqA8rT7l,stat-111-syl-spring 2023,summarization,What are the consequences of academic dishonesty at the University of Massachusetts Amherst?,"Academic dishonesty includes actions such as cheating, fabrication, plagiarism, and facilitating dishonesty. The consequences of academic dishonesty at the University of Massachusetts Amherst may involve sanctions imposed on the student who committed the act. Instructors are expected to address academic misconduct, and instances not related to a specific course should be brought to the attention of the department head or chair. Ignorance of academic integrity standards is not considered a valid excuse.",The consequences of academic dishonesty at the University of Massachusetts Amherst may involve sanctions imposed on the student who committed the act," Instructors are expected to address academic misconduct, and instances not related to a specific course should be brought to the attention of the department head or chair. ",Ignorance of academic integrity standards is not considered a valid excuse.,Any student found to have engaged in academic dishonesty may face appropriate sanctions.,"Instances of academic dishonesty, such as cheating, fabrication, plagiarism, and facilitating dishonesty, are strictly prohibited at the University of Massachusetts Amherst.",,,,,
AJJElltIumgwuDu5,GEOG468668syllabusGIS_2023,yes/no,Does this course have a TA?,Yes,"TA: &lt;TA_FULL_NAME&gt;, &lt;TA_EMAIL&gt;",,,,,,,,,
Y3kfLdStmbwP9VXN,130 syllabus_2 S 2023,multi reasoning,"I am unable to obtain an iClicker for this course, will I still be able to earn a B+ for this course?","The iClicker questions are worth 12% of your total grade. You need to earn at least 87% to earn a B+ in the course. Assuming you receive a perfect score on all other components of this course, it would be possible for you to earn 88%, or a B+, if you are unable to obtain an iClicker. ",,,,,,Lecture iClicker Questions 12%,B+ 87%,,,
j6VqCtFYgi7nIqpG,advanced_system_software_design_redacted,single reasoning,I do not know C programming language - should I take this course? ,No - you do not meet the prerequisites for the course. ,,,,,,C programming language is a prerequisite. ,,,,
BVtAZD0ku2CciNUE,MIE 302 Spring 2022 Syllabus-v1,summarization,What will be covered during all of the labs?,"The labs will cover the following topics: hardiness testing, tensile testing, fracture mechanics, ductile-brittle translation, and strain gauges. ",Lab 1: Hardness testing,Lab 2: Tensile testing,Lab 3: Fracture mechanics,Lab 4: Ductile-brittle transition,Lab 5: Strain gauges ,,,,,
SxNGaRTSfW1FvGPg,Acct 371 Syllabus - Spring,summarization,What are some ways to alleviate stress and discomfort if one finds the class difficult?,"Some ways that students can alleviate stress and discomfort include talking directly to the professor to address issues, talking to the class about difficult situations or bringing up any issues to a academic advisor, faculty member or peer.","Discuss the situation privately with me. I am always open to listening to students'
experiences, and want to work with students to find acceptable ways to process
and address the issue.","Discuss the situation with the class. Chances are there is at least one other student
in the class who had a similar response to the material. Discussion enhances the
ability for all class participants to have a fuller understanding of context and
impact of course material and class discussions.","Notify me of the issue through another source such as your academic advisor, a
trusted faculty member, or a peer. If for any reason you do not feel comfortable
discussing the issue directly with me, I encourage you to seek out another, more
comfortable avenue to address the issue.",,,,,,,
PmNVbY5d11BrR7a5,270 Syllabus Fall 2022 (1),yes/no,Are there going to be more than one lecture days a week?,Yes,"Lecture time: Tu, Th, 2:30 - 3:45 PM",,,,,,,,,
9CpzC6U7rnsNNn2r,Nutr_130H_Syllabus_2021Fall,single factual,What percentage of total value do the exams have?,40%,(2 exams X 20% = 40% of the total 100 pts),,,,,,,,,
9maMkGuMkcQLDuC8,130 syllabus_2 S 2023,no answer,Is the instructor a vegetarian/espouse a vegetarian lifestyle?,No/insufficient information,,,,,,,,,,
2k6BX3hX6Hlcrl3D,Syllabus_BIOLOGY497G_BIOLOGY697G_FA22,summarization,What happens if I have Covid concerns regarding in person attendance?,"You can contact Support and Resources UMass Amherst Students, The Center for Counseling and Psychological Health, and the Center for
Women and Community for possible remote learning options.", Support and Resources UMass Amherst Students can assist with Covid concerns.," The Center for Counseling and Psychological Health and Center for
Women and Community are both providing remote support for students who are struggling with mental health.",,,,,,,,
kJLEzDTVMAJ2uT2l,Syllabus_Grounding_S_2023,no answer,How will the grades be weighted for undergraduate students?,No/insufficient information,,,,,,,,,,
8JRp7XTZEQHs0qsY,270 Syllabus Fall 2022 (1),summarization,What are the policies for working in teams during this course?,"Students will work on teams throughout the entirety of course, which will be determined during the first in person lab meeting, and will remain the same throughout the semester. Lab participation and and much of the extra credit grades will be based on team submissions. Each team member is expected to contribute equally.  5% of the semester grade will be based on peer review of the team contribution.","In order to increase engagement with your classmates and the course material, students
will be working as part of a team throughout the semester. T","Teams will be assembled
during your first in-person lab meeting. You will be part of the same team throughout the
semester. ","Your lab participation grade and a significant portion of your lecture extra credit
grade will be based on team submissions. Even though the assignments will be tackled as
a team, both the volume and difficulty of the work will not exceed what would be expected
of an individual student. However, in order to gain benefits of working as a group, each
team member should contribute equally to your group’s success. 5% of your semester
grade will be based on peer review of your team contribution.","Actively participating with
your teammates will improve your scores on individual assignments and earn a perfect five
percentage points towards your final grade. Please note that your team participation grade
will include participation both to lecture and lab.",,,,,,
IMec0GiDJuVWvCEd,101-f22-syll,yes/no,Will this be a small class?,No,"This is a large class and for many of you, this will be your first semester at
UMass.",,,,,,,,,
2jmNwas7CqeTXuRD,130 syllabus_2 S 2023,yes/no,Is there a required textbook for this course?,No,Please note that information on the book for this course is available on the Moodle page. The book is recommended but not required and is available as an etext.,,,,,,,,,
AenPqztYOKZ26q22,Syllabus_IntroGIS_Fall2022,summarization,How are the different portions of the final project grade going to be split up?,"There are 3 parts to the final project grade, methodological outline and study area map worth 10%, Final poster presentation and data sharing worth 15%, and the final exam worth 10% for a total project grade of 35%. ",1. Methodological outline and study area map. This is an outline of your project topic and the methods you plan to use to tackle your research question. ,"2. Final poster presentation where you will be responsible for presenting your research to faculty, students and friends in the
form of a research poster. This poster will be presented at a GIS poster conference on the 12/9 reading day.",3. The final exam will consist of a small set of theoretical problems which will test your ability to deconstruct spatial problems and apply principles of spatial analysis as discussed in this course. ,Prepare maps that utilize basic cartographic principles to effectively convey the results of GIS analysis to varied audiences. ,,,,,,
XxSggrj61Ok65JM4,Acct 371 Syllabus - Spring,yes/no,Can I work by myself on the Tax Return Problem?,Yes,The tax return may be worked on in teams. The maximum amount of students per team is 4. If you decide to work on this as a team please let me know who is on your team.,,,,,,,,,
Qlmz03F0J8ItbgqP,Biol582_2022_Syllabus,summarization,What is expected in the final assignment and when is it due?,"The final papers are due December 18th by midnight. The final assignment is where you show off everything learned throughout the semester by building a hypothetical animal. You must connect the dots from genetic mutations, through morphogenesis and to the production of the phenotype of your animal. This should be scientifically ground. The paper must be no more than 5 pages. The animal must have at least 3 traits. There will also be an annotated bibliography that must be turned in before Thanksgiving break.","This is your final assignment where you will show off everything that you have learned over the semester:
Build me a hypothetical animal – a “hopeful monster”. Tell me where this animal lives and how it is adapted
to its environment. Most importantly, you should be able to connect the dots from (i) genetic alterations/
mutations, (ii) through morphogenesis, (iii) to the production of the phenotype. While a creative exercise, you
will be evaluated based on the science behind your “story”. As such, this endeavor should be scientifically
grounded and based on real processes (use citations!). Convince me that this could happen - e.g., you must be
mindful of the rules of development and evolution. The paper should be no more than 5 pages (1.5 line spacing,
excluding references or figures/illustrations).
","We will dedicate time in the lab to discuss your papers and tips for how to select and research traits that you
will endow your creature with (you need at least 3). You will also turn in an annotated bibliography (9+
references minimum — 3/trait) before the Thanksgiving break. I will provide critical feedback, and the exercise
will contribute 5% of your total course grade.
","WEEK 16: FINAL PAPERS DUE!!
December 18 – Final papers due on Sunday Dec. 18th, by 11:59pm.
",,,,,,,
fcBWgfNFuAMbDRlK,syllabus-RESEC213-2023spring-yp,yes/no,Will I need to have my clicker for class lectures?,Yes,"Class Material
1. Text:	Applied	Statistics	in	Business	&	Economics	by	David	P.	Doane	and	 Lori	E.	Seward.	An	
online tool called “Connect” comes bundled with the custom edition of the text.
1. Connect is an integral part of this course, and everyone must have it. Our course’s
Connect webpage is &lt;LINK_MHEDUCATION&gt;
2. iClicker2:	This	is	required	for	use	during	lectures.	Students	must	link	their	SPIRE	ID	to	their	
iClicker2	transmitter	on	the	Moodle	site	for	this	course.	Note	that	our	classroom	will	not	use	
mobile	polling	apps	(e.g.	REEF	or	TopHat).
3. Computer/Internet Access: It is important that students have access to a personal computer
and	access	to	the	Internet.	Homework	assignments	and	quizzes	in	this	course	are	given	over	
the	internet.
4. Moodle: Course related announcements will be posted in Moodle, so please check Moodle
on a regular basis.
1. Our course’s Moodle page: &lt;LINK_MOODLE&gt;",,,,,,,,,
YHkaeMgf9An9XtnC,Syllabus Bio 544 lecture S23,summarization,What will the exams be like?,"The exams are not cumulative, so each exam will be on different topics. There will be lab exams in addition to the main exams. The main exams have a time limit, but it is longer than your normal lecture time. The questions are mostly open format, and you will need to apply the information you have learned and explain your reasoning. There may also be problems that haven't been covered in class but that you should be able to answer by using the knowledge that you have gained from class. All three main exams are open-book.",Exam 3 (not cumulative),You’ll also have lab quizzes and exams; Josh will give the details on these in your lab section,"Exams will be timed, but will be available during an extended time window on exam day.","Most exam questions will be open format ""thought questions"" that require you to integrate the concepts and information that you have acquired and to explain your reasoning. You may be asked to apply the concepts you’ve learned to new problems that were not explicitly covered in class.",Exams are open-book. ,,,,,
esraCWYYc8GGP8GS,advanced_system_software_design_redacted,multi reasoning,I will have to miss some classes due to work and might not be able to take the midterm so whats the best grade I can get? ,the best you can get missing half of classes and the midterm is 77.5 or a  C. ,,,,,,Attendance is 5% of grade,Midterm is 20% of grade,Missing half the classes will drop attendance points gained to 2.5%,Not taking the midterm lowers grade by 20%,the grade policy shows that missing 22.5% of the overall  grade will result in a course grade of no more than 77.5%
RP8eUap7WvAYkT69,Nutr_130H_Syllabus_2021Fall,multi factual,"What will we learn about the gastrointestinal system, and when will we learn it?",On 9/14 we will learn about what food and the body have to do with the Gastrointestinal System.  On 9/16 we will learn about the organs of the Gastrointestinal System.,Tues 09/14 Gastrointestinal System: Food to Body,"Thurs 09/16 Gastrointestinal System: Functions of GI
organs",,,,,,,,
qIUFLzlIcwm2cLje,EME6651-SP2023_Syllabus,no answer,Is there a pass/fail option for the class or only a letter grade option?,No/insufficient information,,,,,,,,,,
JhyCIYilWaAm61R2,Syllabus_Grounding_S_2023,single factual,How much is the final exam worth in this class?,60%,60% of your grade will be determined by either a final paper or a final take-home exam,,,,,,,,,
TgROPcsGp0POUK38,soc795E,single reasoning,Will my grades be affected if I am unwilling to be the lead discussant?,Each student will serve as the lead discussant for one class session you will serve as “lead discussant” and for one session you will serve as “secondary discussant.” Please contact the instructor if you have any issues. ,,,,,,Participation is 75% of the grade and this is a key role in participating.,,,,
69vb0W8oxHmEtk1C,EME6651-SP2023_Syllabus,summarization,Summarize the scheduling of when the course material is released.,"The course is comprised of 8 online modules, each of which correspond with a key topic. Each module will be released at 12 am on the corresponding money.","This	course	is	comprised	of	8	modules,	each	corresponding	with	a	key	conceptual	topic.	E","Each	module	will	be	
released at 12a on the corresponding Monday, with module deliverables due at 11:59p on the following Sunday",,,,,,,,
iS6VZY8C4zJ5Rj07,syllabus-RESEC213-2023spring-yp,no answer,What day will the final exam be held?,No/insufficient information,,,,,,,,,,
85GbifSfceZitjPh,Acct 371 Syllabus - Spring,multi reasoning,I have 4 friends taking the class with me. We want to work on the tax return problem together. Is that possible?,"It's not possible for all 5 of you to be on the same tax return project team, as the maximum number of students per team is 4. However, your friend group could split into a team of 3, and a team of 2, so everyone will have at least one friend on their team to work on solving the problem.",,,,,,The tax return project teams can contain at most 4 students. You are a group of 5. This is not allowed. ,"However, you could split into smaller groups. The options are a group of 4 and a group of 1—or a group of 2 and a group of 3.","Since the students want to work together, the only allowable option is to have a group of 3 and a group of 2.",,
fBxiRclgtaWkRvdd,syllabus-RESEC213-2023spring-yp,summarization,What is the exam schedule and logistics?,"This course consists of two midterm exams and a final exam, cumulatively accounting for 60% of the overall grade. The first midterm is tentatively scheduled from 4:00 - 6:00 PM on March 8th. The second midterm is also tentatively scheduled from 4:00- 6:00 PM on April 19th. The final examination is yet to be scheduled.","Exam (60%)
There will be two midterms and a final exam.","Midterm 1 March 8, tentatively 4:00p-6:00p
","Midterm	2 April 19,tentatively 4:00p-6:00p	
",Final TBD,,,,,,
